2022-08-27 20:06:52,793 --------------第1轮训练开始--------------
2022-08-27 20:07:53,059 --------------第1轮训练开始--------------
2022-08-27 20:08:15,776 --------------第1轮训练开始--------------
2022-08-27 20:08:17,869 训练次数：1 , loss :2.564823865890503
2022-08-27 20:08:17,871 训练次数：2 , loss :2.562119960784912
2022-08-27 20:08:17,873 训练次数：3 , loss :2.56807804107666
2022-08-27 20:08:17,875 训练次数：4 , loss :2.5675621032714844
2022-08-27 20:08:17,876 训练次数：5 , loss :2.5658609867095947
2022-08-27 20:08:17,877 训练次数：6 , loss :2.5660743713378906
2022-08-27 20:08:17,879 训练次数：7 , loss :2.5679285526275635
2022-08-27 20:08:17,882 训练次数：8 , loss :2.5603816509246826
2022-08-27 20:08:17,883 训练次数：9 , loss :2.5637922286987305
2022-08-27 20:08:17,885 训练次数：10 , loss :2.5652785301208496
2022-08-27 20:08:17,887 训练次数：11 , loss :2.568481683731079
2022-08-27 20:08:17,889 训练次数：12 , loss :2.568301200866699
2022-08-27 20:08:17,891 训练次数：13 , loss :2.5621895790100098
2022-08-27 20:08:17,893 训练次数：14 , loss :2.563709259033203
2022-08-27 20:08:17,895 训练次数：15 , loss :2.5633978843688965
2022-08-27 20:08:17,897 训练次数：16 , loss :2.5633327960968018
2022-08-27 20:08:17,899 训练次数：17 , loss :2.566443681716919
2022-08-27 20:08:17,901 训练次数：18 , loss :2.5622341632843018
2022-08-27 20:08:17,903 训练次数：19 , loss :2.5650105476379395
2022-08-27 20:08:17,905 训练次数：20 , loss :2.5639846324920654
2022-08-27 20:08:17,907 训练次数：21 , loss :2.5655901432037354
2022-08-27 20:08:17,908 训练次数：22 , loss :2.5664987564086914
2022-08-27 20:08:17,910 训练次数：23 , loss :2.568002700805664
2022-08-27 20:08:17,912 训练次数：24 , loss :2.564377546310425
2022-08-27 20:08:20,423 --------------第2轮训练开始--------------
2022-08-27 20:08:22,883 训练次数：1 , loss :2.5647902488708496
2022-08-27 20:08:22,898 训练次数：2 , loss :2.5620784759521484
2022-08-27 20:08:22,900 训练次数：3 , loss :2.568054676055908
2022-08-27 20:08:22,902 训练次数：4 , loss :2.5675485134124756
2022-08-27 20:08:22,904 训练次数：5 , loss :2.565847635269165
2022-08-27 20:08:22,906 训练次数：6 , loss :2.566066026687622
2022-08-27 20:08:22,909 训练次数：7 , loss :2.5679080486297607
2022-08-27 20:08:22,911 训练次数：8 , loss :2.56034779548645
2022-08-27 20:08:22,913 训练次数：9 , loss :2.5637824535369873
2022-08-27 20:08:22,915 训练次数：10 , loss :2.565258026123047
2022-08-27 20:08:22,918 训练次数：11 , loss :2.5684733390808105
2022-08-27 20:08:22,920 训练次数：12 , loss :2.56827449798584
2022-08-27 20:08:22,922 训练次数：13 , loss :2.5621531009674072
2022-08-27 20:08:22,923 训练次数：14 , loss :2.563682794570923
2022-08-27 20:08:22,925 训练次数：15 , loss :2.5633792877197266
2022-08-27 20:08:22,927 训练次数：16 , loss :2.5632994174957275
2022-08-27 20:08:22,929 训练次数：17 , loss :2.5664286613464355
2022-08-27 20:08:22,931 训练次数：18 , loss :2.562211751937866
2022-08-27 20:08:22,933 训练次数：19 , loss :2.5649895668029785
2022-08-27 20:08:22,935 训练次数：20 , loss :2.5639660358428955
2022-08-27 20:08:22,937 训练次数：21 , loss :2.5655806064605713
2022-08-27 20:08:22,939 训练次数：22 , loss :2.5664803981781006
2022-08-27 20:08:22,941 训练次数：23 , loss :2.5679893493652344
2022-08-27 20:08:22,943 训练次数：24 , loss :2.564356565475464
2022-08-27 20:08:25,546 --------------第3轮训练开始--------------
2022-08-27 20:08:27,630 训练次数：1 , loss :2.564755916595459
2022-08-27 20:08:27,632 训练次数：2 , loss :2.5620365142822266
2022-08-27 20:08:27,634 训练次数：3 , loss :2.5680320262908936
2022-08-27 20:08:27,635 训练次数：4 , loss :2.5675346851348877
2022-08-27 20:08:27,638 训练次数：5 , loss :2.56583309173584
2022-08-27 20:08:27,640 训练次数：6 , loss :2.5660576820373535
2022-08-27 20:08:27,642 训练次数：7 , loss :2.567887306213379
2022-08-27 20:08:27,644 训练次数：8 , loss :2.5603137016296387
2022-08-27 20:08:27,646 训练次数：9 , loss :2.563771963119507
2022-08-27 20:08:27,648 训练次数：10 , loss :2.5652377605438232
2022-08-27 20:08:27,650 训练次数：11 , loss :2.568464517593384
2022-08-27 20:08:27,653 训练次数：12 , loss :2.5682475566864014
2022-08-27 20:08:27,655 训练次数：13 , loss :2.5621163845062256
2022-08-27 20:08:27,657 训练次数：14 , loss :2.5636560916900635
2022-08-27 20:08:27,659 训练次数：15 , loss :2.5633606910705566
2022-08-27 20:08:27,661 训练次数：16 , loss :2.563265562057495
2022-08-27 20:08:27,663 训练次数：17 , loss :2.566413402557373
2022-08-27 20:08:27,665 训练次数：18 , loss :2.5621893405914307
2022-08-27 20:08:27,667 训练次数：19 , loss :2.5649678707122803
2022-08-27 20:08:27,669 训练次数：20 , loss :2.5639472007751465
2022-08-27 20:08:27,671 训练次数：21 , loss :2.5655713081359863
2022-08-27 20:08:27,672 训练次数：22 , loss :2.5664620399475098
2022-08-27 20:08:27,674 训练次数：23 , loss :2.567976236343384
2022-08-27 20:08:27,677 训练次数：24 , loss :2.564335823059082
2022-08-27 20:08:30,131 --------------第4轮训练开始--------------
2022-08-27 20:08:32,185 训练次数：1 , loss :2.5647220611572266
2022-08-27 20:08:32,187 训练次数：2 , loss :2.5619945526123047
2022-08-27 20:08:32,189 训练次数：3 , loss :2.5680084228515625
2022-08-27 20:08:32,191 训练次数：4 , loss :2.5675203800201416
2022-08-27 20:08:32,193 训练次数：5 , loss :2.565819263458252
2022-08-27 20:08:32,195 训练次数：6 , loss :2.566049098968506
2022-08-27 20:08:32,196 训练次数：7 , loss :2.5678672790527344
2022-08-27 20:08:32,198 训练次数：8 , loss :2.560279607772827
2022-08-27 20:08:32,199 训练次数：9 , loss :2.5637619495391846
2022-08-27 20:08:32,201 训练次数：10 , loss :2.5652174949645996
2022-08-27 20:08:32,203 训练次数：11 , loss :2.568455457687378
2022-08-27 20:08:32,205 训练次数：12 , loss :2.5682213306427
2022-08-27 20:08:32,207 训练次数：13 , loss :2.562079429626465
2022-08-27 20:08:32,209 训练次数：14 , loss :2.5636298656463623
2022-08-27 20:08:32,211 训练次数：15 , loss :2.5633418560028076
2022-08-27 20:08:32,213 训练次数：16 , loss :2.563232183456421
2022-08-27 20:08:32,216 训练次数：17 , loss :2.5663983821868896
2022-08-27 20:08:32,219 训练次数：18 , loss :2.562166690826416
2022-08-27 20:08:32,221 训练次数：19 , loss :2.5649466514587402
2022-08-27 20:08:32,223 训练次数：20 , loss :2.5639281272888184
2022-08-27 20:08:32,225 训练次数：21 , loss :2.565561294555664
2022-08-27 20:08:32,227 训练次数：22 , loss :2.5664429664611816
2022-08-27 20:08:32,228 训练次数：23 , loss :2.567962646484375
2022-08-27 20:08:32,230 训练次数：24 , loss :2.5643150806427
2022-08-27 20:08:34,738 --------------第5轮训练开始--------------
2022-08-27 20:08:36,802 训练次数：1 , loss :2.564687967300415
2022-08-27 20:08:36,812 训练次数：2 , loss :2.561952590942383
